Source Email Address,Source Type,Destination Email Address,Destination Type,Migrate Archived Mailboxes,Migrate Recoverable Item Folder,Convert To Shared Mailbox
accountingrx@newmarketinc.com,SharedMailbox,hospitality.accountingrx@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
accountsreceivableMB@newmarketinc.com,SharedMailbox,hospitality.accountsreceivableMB@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
ACPMSKeyDates@newmarketinc.com,SharedMailbox,hospitality.ACPMSKeyDates@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
ACPMSProductManagement@newmarketinc.com,SharedMailbox,hospitality.ACPMSProductManagement@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
AHDLDuser@newmarketinc.com,SharedMailbox,hospitality.AHDLDuser@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
AHDSyncServiceMB@newmarketinc.com,SharedMailbox,hospitality.AHDSyncServiceMB@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
AHRegistrar@newmarketinc.com,SharedMailbox,hospitality.AHRegistrar@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
AJerez@newmarketinc.com,SharedMailbox,hospitality.AJerez@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
Amadeus.Hospitality@newmarketinc.com,SharedMailbox,hospitality.Amadeus@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
AmadeusAccentureServicesTeamMB@newmarketinc.com,SharedMailbox,hospitality.AmadeusAccentureServicesTeamMB@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
archive.ihg@newmarketinc.com,SharedMailbox,hospitality.archive.ihg@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
atteam@newmarketinc.com,SharedMailbox,hospitality.atteam@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
autoTestUser1_GLS@newmarketinc.com,SharedMailbox,hospitality.autoTestUser1_GLS@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
autotestuser2_gls@newmarketinc.com,SharedMailbox,hospitality.autotestuser2_gls@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
AzureAdmin@newmarketinc.com,SharedMailbox,hospitality.AzureAdmin@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
BusinessSystemsCalendar@newmarketinc.com,SharedMailbox,hospitality.BusinessSystemsCalendar@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
callrecording@newmarketinc.com,SharedMailbox,hospitality.callrecording@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
captain.generous@newmarketinc.com,SharedMailbox,hospitality.captain.generous@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
career@newmarketinc.com,SharedMailbox,hospitality.career@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
ConnexSupport@newmarketinc.com,SharedMailbox,hospitality.ConnexSupport@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
cs@newmarketinc.com,SharedMailbox,hospitality.cs@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
CustomerRelations@newmarketinc.com,SharedMailbox,hospitality.CustomerRelations@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
CustomerRetentionMB@newmarketinc.com,SharedMailbox,hospitality.CustomerRetentionMB@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
DataIntegrity@newmarketinc.com,SharedMailbox,hospitality.DataIntegrity@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
Delphi.fdc@newmarketinc.com,SharedMailbox,hospitality.Delphi.fdc@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
DHR_HRM_Mail_Capture@newmarketinc.com,SharedMailbox,hospitality.DHR_HRM_Mail_Capture@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
DHR_Trigger_Mail_Capture@Newmarketinc.com,SharedMailbox,hospitality.DHR_Trigger_Mail_Capture@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
diagrams@newmarketinc.com,SharedMailbox,hospitality.diagrams@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
DNS@newmarketinc.com,SharedMailbox,hospitality.DNS@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
ecmailbox@newmarketinc.com,SharedMailbox,hospitality.empcommittee@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
eproposallite@newmarketinc.com,SharedMailbox,hospitality.eproposallite@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
facilities_breda@newmarketinc.com,SharedMailbox,hospitality.facilities_breda@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
facilitiesmailbox@newmarketinc.com,SharedMailbox,hospitality.facilitiesmb@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
fb_ode@newmarketinc.com,SharedMailbox,hospitality.fb_ode@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
GoldenSalesAndCatering@newmarketinc.com,SharedMailbox,hospitality.GoldenSalesAndCatering@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
GoodData@newmarketinc.com,SharedMailbox,hospitality.GoodData@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
GreenChallenge@newmarketinc.com,SharedMailbox,hospitality.GreenChallenge@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
greencommmailbox@newmarketinc.com ,SharedMailbox,hospitality.gcommittee@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
HISJobs@newmarketinc.com,SharedMailbox,hospitality.HISJobs@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
HOS-Architecture-Newsletter@newmarketinc.com,SharedMailbox,hospitality-Architecture-Newsletter@amadeus.com,SharedMailbox,FALSE,FALSE,FALSE
